PersonId,DoBAssigned,Sex
1,1955-01-01,Female
2,1958-01-01,Female
3,1981-01-01,Male
4,1977-01-01,Female
5,1917-01-01,Male
6,1988-01-01,Female
7,1974-01-01,Male
8,1961-01-01,Male
9,1935-01-01,Female
10,1996-01-01,Female
11,1941-01-01,Male
12,1998-01-01,Female
13,1952-01-01,Female
14,1959-01-01,Male
15,1951-01-01,Female
16,1997-01-01,Male
17,2000-01-01,Male
18,1985-01-01,Male
19,1966-01-01,Female
20,2001-01-01,Male
21,2000-01-01,Female
22,1991-01-01,Male
23,1960-01-01,Male
24,1998-01-01,Male
25,1953-01-01,Male
26,1971-01-01,Male
27,1987-01-01,Male
28,1953-01-01,Female
29,1972-01-01,Female
30,1969-01-01,Female
31,1969-01-01,Female
32,1964-01-01,Female
33,1996-01-01,Male
34,1978-01-01,Male
35,1972-01-01,Female
36,1986-01-01,Female
37,1959-01-01,Male
38,1939-01-01,Female
39,1986-01-01,Male
40,1994-01-01,Female
41,1993-01-01,Male
42,1990-01-01,Female
43,1968-01-01,Female
44,1996-01-01,Female
45,1992-01-01,Male
46,1996-01-01,Female
47,1998-01-01,Female
48,1985-01-01,Female
49,2001-01-01,Female
50,1988-01-01,Male
51,1980-01-01,Female
52,1985-01-01,Male
53,1963-01-01,Female
54,1910-01-01,Male
55,1988-01-01,Female
56,1997-01-01,Male
57,1976-01-01,Male
58,1984-01-01,Female
59,1984-01-01,Male
60,1999-01-01,Female
61,1955-01-01,Female
62,1932-01-01,Female
63,1960-01-01,Female
64,1997-01-01,Male
65,1962-01-01,Female
66,1993-01-01,Female
67,1942-01-01,Female
68,1965-01-01,Female
69,1933-01-01,Male
70,1967-01-01,Male
71,1979-01-01,Female
72,1929-01-01,Male
73,1994-01-01,Female
74,1930-01-01,Male
75,1949-01-01,Female
76,1983-01-01,Female
77,1943-01-01,Female
78,1952-01-01,Male
79,1986-01-01,Male
80,1974-01-01,Male
81,1993-01-01,Male
82,1967-01-01,Male
83,1980-01-01,Female
84,1976-01-01,Male
85,1972-01-01,Female
86,1999-01-01,Male
87,1981-01-01,Female
88,1957-01-01,Female
89,1997-01-01,Female
90,1929-01-01,Male
91,1926-01-01,Female
92,1961-01-01,Male
93,1957-01-01,Female
94,1996-01-01,Male
95,1965-01-01,Male
96,1987-01-01,Female
97,1972-01-01,Male
98,1970-01-01,Male
99,1985-01-01,Female
100,1977-01-01,Female
101,1972-01-01,Male
102,1989-01-01,Male
103,1919-01-01,Female
104,1997-01-01,Female
105,1996-01-01,Male
106,1995-01-01,Male
107,1980-01-01,Male
108,2001-01-01,Male
109,1950-01-01,Male
110,1975-01-01,Male
111,1998-01-01,Male
112,1971-01-01,Male
113,1998-01-01,Male
114,1988-01-01,Female
115,1996-01-01,Female
116,1972-01-01,Female
117,1996-01-01,Male
118,1993-01-01,Female
119,1968-01-01,Female
120,1977-01-01,Female
121,1978-01-01,Female
122,1996-01-01,Female
123,1931-01-01,Female
124,1983-01-01,Female
125,1997-01-01,Female
126,1922-01-01,Female
127,1930-01-01,Female
128,1972-01-01,Female
129,1957-01-01,Female
130,1979-01-01,Male
131,2002-01-01,Female
132,1980-01-01,Female
133,1990-01-01,Male
134,1965-01-01,Male
135,1966-01-01,Female
136,1992-01-01,Female
137,1976-01-01,Male
138,1981-01-01,Male
139,1979-01-01,Male
140,1933-01-01,Female
141,1983-01-01,Female
142,1998-01-01,Female
143,1962-01-01,Male
144,1977-01-01,Male
145,1976-01-01,Female
146,1957-01-01,Male
147,1986-01-01,Female
148,1938-01-01,Female
149,1976-01-01,Female
150,1969-01-01,Male
151,1962-01-01,Female
152,1984-01-01,Female
153,1988-01-01,Female
154,1980-01-01,Male
155,1909-01-01,Female
156,1991-01-01,Female
157,2000-01-01,Female
158,1990-01-01,Male
159,1995-01-01,Male
160,1978-01-01,Female
161,1922-01-01,Female
162,1996-01-01,Female
163,1968-01-01,Male
164,1989-01-01,Male
165,1957-01-01,Female
166,1963-01-01,Male
167,1999-01-01,Male
168,1992-01-01,Female
169,1981-01-01,Female
170,1965-01-01,Female
171,1974-01-01,Male
172,1982-01-01,Male
173,1995-01-01,Male
174,1985-01-01,Male
175,1995-01-01,Male
176,1996-01-01,Male
177,1932-01-01,Female
178,2000-01-01,Male
179,1995-01-01,Female
180,1970-01-01,Male
181,1975-01-01,Male
182,1972-01-01,Female
183,1959-01-01,Female
184,2000-01-01,Male
185,1968-01-01,Male
186,1958-01-01,Male
187,1989-01-01,Male
188,1968-01-01,Male
189,1934-01-01,Male
190,1948-01-01,Male
191,2001-01-01,Female
192,1996-01-01,Male
193,1969-01-01,Female
194,1970-01-01,Male
195,1978-01-01,Female
196,1978-01-01,Female
197,1966-01-01,Female
198,1934-01-01,Male
199,1970-01-01,Female
200,1986-01-01,Female
201,1978-01-01,Female
202,1971-01-01,Female
203,1988-01-01,Male
204,1991-01-01,Female
205,1999-01-01,Male
206,1998-01-01,Female
207,1985-01-01,Male
208,1982-01-01,Male
209,1962-01-01,Female
210,1946-01-01,Male
211,1997-01-01,Female
212,1984-01-01,Male
213,1948-01-01,Female
214,1993-01-01,Female
215,1963-01-01,Male
216,1981-01-01,Female
217,1958-01-01,Male
218,1977-01-01,Female
219,1968-01-01,Female
220,1993-01-01,Male
221,1957-01-01,Female
222,1999-01-01,Female
223,1987-01-01,Female
224,1991-01-01,Female
225,1954-01-01,Male
226,1969-01-01,Female
227,1950-01-01,Male
228,2002-01-01,Female
229,1973-01-01,Female
230,1995-01-01,Female
231,1996-01-01,Male
232,1995-01-01,Male
233,1998-01-01,Female
234,1976-01-01,Male
235,1998-01-01,Male
236,1974-01-01,Male
237,1969-01-01,Male
238,1972-01-01,Male
239,1991-01-01,Male
240,2000-01-01,Male
241,1940-01-01,Female
242,1969-01-01,Male
243,1968-01-01,Female
244,1996-01-01,Female
245,1969-01-01,Female
246,1956-01-01,Male
247,1915-01-01,Male
248,1945-01-01,Male
249,1955-01-01,Male
250,1974-01-01,Female
251,1960-01-01,Male
252,1973-01-01,Female
253,1994-01-01,Female
254,1920-01-01,Female
255,1986-01-01,Female
256,1987-01-01,Male
257,1968-01-01,Female
258,1964-01-01,Female
259,1994-01-01,Female
260,1959-01-01,Male
261,1988-01-01,Female
262,1997-01-01,Female
263,1990-01-01,Female
264,1961-01-01,Female
265,1990-01-01,Male
266,1994-01-01,Female
267,1966-01-01,Female
268,1992-01-01,Female
269,1994-01-01,Female
270,1963-01-01,Female
271,1920-01-01,Male
272,1966-01-01,Female
273,1981-01-01,Female
274,1988-01-01,Female
275,1987-01-01,Female
276,1985-01-01,Male
277,1930-01-01,Female
278,1993-01-01,Female
279,1998-01-01,Male
280,1967-01-01,Female
281,1978-01-01,Female
282,1978-01-01,Male
283,1994-01-01,Male
284,1963-01-01,Female
285,1990-01-01,Male
286,1994-01-01,Female
287,1976-01-01,Female
288,1977-01-01,Female
289,1970-01-01,Male
290,1926-01-01,Female
291,1946-01-01,Female
292,1988-01-01,Male
293,1955-01-01,Male
294,1979-01-01,Male
295,1960-01-01,Female
296,1953-01-01,Female
297,1981-01-01,Female
298,1949-01-01,Female
299,1960-01-01,Male
300,1998-01-01,Male
301,1977-01-01,Female
302,1975-01-01,Female
303,1939-01-01,Female
304,1985-01-01,Female
305,1937-01-01,Female
306,1962-01-01,Male
307,1958-01-01,Female
308,1938-01-01,Female
309,1970-01-01,Male
310,1978-01-01,Male
311,1978-01-01,Female
312,1949-01-01,Male
313,1987-01-01,Female
314,1932-01-01,Female
315,1950-01-01,Female
316,1962-01-01,Male
317,1991-01-01,Female
318,2000-01-01,Female
319,1994-01-01,Male
320,1951-01-01,Male
321,1983-01-01,Female
322,1990-01-01,Male
323,1998-01-01,Male
324,1961-01-01,Female
325,1976-01-01,Male
326,1981-01-01,Female
327,1989-01-01,Male
328,2000-01-01,Male
329,1967-01-01,Female
330,1975-01-01,Male
331,1999-01-01,Male
332,1991-01-01,Male
333,1986-01-01,Female
334,1965-01-01,Male
335,1994-01-01,Male
336,1979-01-01,Female
337,1922-01-01,Female
338,1967-01-01,Male
339,1960-01-01,Male
340,1974-01-01,Female
341,2001-01-01,Female
342,1988-01-01,Male
343,1998-01-01,Female
344,1960-01-01,Male
345,1947-01-01,Female
346,1987-01-01,Female
347,1956-01-01,Male
348,1971-01-01,Male
349,1963-01-01,Male
350,1972-01-01,Female
351,1980-01-01,Male
352,1944-01-01,Male
353,1964-01-01,Male
354,1969-01-01,Female
355,1993-01-01,Female
356,1959-01-01,Female
357,2001-01-01,Male
358,1983-01-01,Male
359,1970-01-01,Male
360,1975-01-01,Female
361,1998-01-01,Female
362,1990-01-01,Female
363,1934-01-01,Male
364,1991-01-01,Female
365,1967-01-01,Male
366,1979-01-01,Male
367,1985-01-01,Male
368,1984-01-01,Female
369,1999-01-01,Female
370,1997-01-01,Male
371,1997-01-01,Male
372,1955-01-01,Female
373,1976-01-01,Male
374,1965-01-01,Female
375,1958-01-01,Male
376,1996-01-01,Male
377,1996-01-01,Male
378,1946-01-01,Female
379,2000-01-01,Male
380,1957-01-01,Female
381,1995-01-01,Male
382,1985-01-01,Male
383,1970-01-01,Male
384,1976-01-01,Female
385,1959-01-01,Female
386,1931-01-01,Female
387,1954-01-01,Male
388,1949-01-01,Male
389,1973-01-01,Female
390,1973-01-01,Female
391,1963-01-01,Female
392,1994-01-01,Male
393,1974-01-01,Female
394,1992-01-01,Male
395,1974-01-01,Female
396,1977-01-01,Male
397,1999-01-01,Female
398,1970-01-01,Male
399,2001-01-01,Male
400,1998-01-01,Male
401,1965-01-01,Female
402,1962-01-01,Female
403,1980-01-01,Female
404,1979-01-01,Female
405,1998-01-01,Male
406,1966-01-01,Female
407,1998-01-01,Male
408,1966-01-01,Male
409,1939-01-01,Female
410,1987-01-01,Female
411,1973-01-01,Male
412,1977-01-01,Male
413,1988-01-01,Female
414,1906-01-01,Male
415,1952-01-01,Male
416,1986-01-01,Male
417,1946-01-01,Female
418,1974-01-01,Male
419,1954-01-01,Male
420,1982-01-01,Male
421,1981-01-01,Female
422,1974-01-01,Female
423,1955-01-01,Female
424,1963-01-01,Female
425,1999-01-01,Male
426,1955-01-01,Male
427,1974-01-01,Male
428,1958-01-01,Male
429,1979-01-01,Male
430,1983-01-01,Male
431,1990-01-01,Male
432,1965-01-01,Female
433,1977-01-01,Female
434,1972-01-01,Female
435,1929-01-01,Female
436,1971-01-01,Female
437,1944-01-01,Female
438,1943-01-01,Female
439,1944-01-01,Male
440,1997-01-01,Male
441,1947-01-01,Female
442,1945-01-01,Female
443,1967-01-01,Female
444,1925-01-01,Female
445,1981-01-01,Male
446,1998-01-01,Female
447,1991-01-01,Female
448,1963-01-01,Female
449,1987-01-01,Female
450,1991-01-01,Female
451,1996-01-01,Female
452,1984-01-01,Female
453,1998-01-01,Female
454,1963-01-01,Female
455,1995-01-01,Male
456,1977-01-01,Male
457,1952-01-01,Male
458,1997-01-01,Male
459,1936-01-01,Male
460,1997-01-01,Male
461,1960-01-01,Female
462,1982-01-01,Female
463,1991-01-01,Male
464,1983-01-01,Female
465,1998-01-01,Male
466,1989-01-01,Male
467,1967-01-01,Female
468,1917-01-01,Female
469,1987-01-01,Male
470,1970-01-01,Male
471,1996-01-01,Female
472,2000-01-01,Female
473,1967-01-01,Female
474,1998-01-01,Male
475,1950-01-01,Male
476,1967-01-01,Female
477,1970-01-01,Female
478,1979-01-01,Female
479,1938-01-01,Female
480,1965-01-01,Male
481,1985-01-01,Female
482,1964-01-01,Male
483,1978-01-01,Female
484,1965-01-01,Male
485,1948-01-01,Female
486,2000-01-01,Male
487,1973-01-01,Female
488,1995-01-01,Female
489,1973-01-01,Female
490,1980-01-01,Male
491,1994-01-01,Female
492,1946-01-01,Male
493,1920-01-01,Male
494,1999-01-01,Female
495,1985-01-01,Female
496,1985-01-01,Male
497,1977-01-01,Male
498,1973-01-01,Female
499,1976-01-01,Female
500,1952-01-01,Female
501,1969-01-01,Female
502,1979-01-01,Female
503,1968-01-01,Female
504,1975-01-01,Female
505,1965-01-01,Male
506,1969-01-01,Female
507,1954-01-01,Female
508,1963-01-01,Male
509,1972-01-01,Female
510,1975-01-01,Female
511,2001-01-01,Female
512,1995-01-01,Male
513,1953-01-01,Male
514,1987-01-01,Female
515,1977-01-01,Male
516,1995-01-01,Female
517,1977-01-01,Male
518,1979-01-01,Male
519,1997-01-01,Female
520,1965-01-01,Male
521,1966-01-01,Female
522,1959-01-01,Male
523,1971-01-01,Female
524,1930-01-01,Female
525,1997-01-01,Female
526,2000-01-01,Male
527,1986-01-01,Male
528,1974-01-01,Female
529,1995-01-01,Female
530,1921-01-01,Female
531,1985-01-01,Female
532,2000-01-01,Female
533,1972-01-01,Male
534,1964-01-01,Female
535,1950-01-01,Female
536,1966-01-01,Female
537,1972-01-01,Female
538,1995-01-01,Female
539,1926-01-01,Female
540,1988-01-01,Female
541,1951-01-01,Female
542,1963-01-01,Female
543,1970-01-01,Female
544,1984-01-01,Female
545,1970-01-01,Male
546,1962-01-01,Male
547,1964-01-01,Female
548,1990-01-01,Female
549,1971-01-01,Female
550,1972-01-01,Male
551,1901-01-01,Female
552,1985-01-01,Male
553,1967-01-01,Female
554,1977-01-01,Female
555,1937-01-01,Female
556,1936-01-01,Female
557,1972-01-01,Female
558,1988-01-01,Male
559,1989-01-01,Male
560,1967-01-01,Female
561,1960-01-01,Male
562,1984-01-01,Male
563,1941-01-01,Male
564,1921-01-01,Female
565,1970-01-01,Female
566,1952-01-01,Male
567,2000-01-01,Male
568,1930-01-01,Male
569,1996-01-01,Male
570,1967-01-01,Male
571,1967-01-01,Female
572,1971-01-01,Male
573,1977-01-01,Female
574,1988-01-01,Female
575,1970-01-01,Female
576,1964-01-01,Female
577,1949-01-01,Female
578,1969-01-01,Female
579,1967-01-01,Female
580,1974-01-01,Male
581,1919-01-01,Female
582,1925-01-01,Female
583,1921-01-01,Female
584,1960-01-01,Male
585,1949-01-01,Male
586,1940-01-01,Female
587,1948-01-01,Male
588,1920-01-01,Male
589,1950-01-01,Male
590,1997-01-01,Male
591,1995-01-01,Female
592,1955-01-01,Male
593,1945-01-01,Male
594,1942-01-01,Male
595,1976-01-01,Female
596,1966-01-01,Female
597,1980-01-01,Female
598,1961-01-01,Female
599,1994-01-01,Female
600,2002-01-01,Female
601,1978-01-01,Male
602,1973-01-01,Male
603,1974-01-01,Male
604,1993-01-01,Male
605,1969-01-01,Male
606,1962-01-01,Male
607,1994-01-01,Female
608,1994-01-01,Female
609,1961-01-01,Male
610,1936-01-01,Female
611,1991-01-01,Female
612,1990-01-01,Male
613,1954-01-01,Female
614,1991-01-01,Female
615,1975-01-01,Female
616,2000-01-01,Male
617,1991-01-01,Male
618,1976-01-01,Male
619,1963-01-01,Male
620,1959-01-01,Female
621,1966-01-01,Male
622,2000-01-01,Female
623,1997-01-01,Female
624,1976-01-01,Female
625,1970-01-01,Female
626,2002-01-01,Male
627,1968-01-01,Male
628,1990-01-01,Female
629,1997-01-01,Male
630,1986-01-01,Male
631,1974-01-01,Male
632,2000-01-01,Male
633,2001-01-01,Female
634,1964-01-01,Female
635,1955-01-01,Male
636,1990-01-01,Female
637,1950-01-01,Female
638,1966-01-01,Male
639,1986-01-01,Female
640,1965-01-01,Female
641,1969-01-01,Female
642,1993-01-01,Female
643,1998-01-01,Female
644,1974-01-01,Female
645,1910-01-01,Male
646,1979-01-01,Female
647,1997-01-01,Female
648,1986-01-01,Female
649,1909-01-01,Female
650,1941-01-01,Male
651,1973-01-01,Female
652,1972-01-01,Female
653,1972-01-01,Male
654,1975-01-01,Male
655,1996-01-01,Male
656,1969-01-01,Male
657,1980-01-01,Male
658,1974-01-01,Female
659,1969-01-01,Female
660,1987-01-01,Female
661,2000-01-01,Female
662,1936-01-01,Female
663,1958-01-01,Female
664,1957-01-01,Female
665,1972-01-01,Female
666,1994-01-01,Female
667,1976-01-01,Female
668,1978-01-01,Female
669,1979-01-01,Female
670,1968-01-01,Female
671,1970-01-01,Male
672,1949-01-01,Female
673,1953-01-01,Male
674,1973-01-01,Male
675,1926-01-01,Female
676,1990-01-01,Female
677,1984-01-01,Female
678,1988-01-01,Female
679,1990-01-01,Male
680,1974-01-01,Female
681,1978-01-01,Female
682,1998-01-01,Male
683,1980-01-01,Female
684,1995-01-01,Female
685,1998-01-01,Female
686,1962-01-01,Male
687,1956-01-01,Male
688,1996-01-01,Female
